pop	sample	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
lb	lb_s_180	2614267	2189498	0.838	1076329	154278	150034	76080	0	44377
lb	lb_s_181	15168840	12582819	0.830	6205085	996983	903204	345182	0	340652
lb	lb_s_182	17113825	13741149	0.803	6521827	1046677	1207456	663084	0	455459
lb	lb_s_183	20009858	16689586	0.834	8245559	1267547	1090125	517402	0	445198
lb	lb_s_184	7571579	6161618	0.814	3044923	464782	542389	220947	0	181843
lb	lb_s_185	10800301	7905269	0.732	3883560	1032310	941862	458001	0	462859
lb	lb_s_186	29531408	25113023	0.850	12496988	1826299	1352953	749085	0	490048
lb	lb_s_188	11215718	9048635	0.807	4376441	764056	844546	299019	0	259462
lb	lb_s_189	11679260	8190648	0.701	3969106	1255789	990898	714941	0	526984
lb	lb_s_19	20885118	17475768	0.837	8682798	1327940	1079457	541359	0	460594
lb	lb_s_190	15209143	12657211	0.832	6169804	888961	880052	517426	0	265493
lb	lb_s_191	4540407	3683721	0.811	1783127	313138	330270	124185	0	89093
lb	lb_s_192	8151118	6620506	0.812	3208360	545152	611108	205368	0	168984
lb	lb_s_193	25145186	20650027	0.821	9908934	1527541	1621370	843758	0	502490
lb	lb_s_194	29636270	23925334	0.807	11504665	2041622	2171844	880808	0	616662
lb	lb_s_195	16835004	14038267	0.834	6846405	1002044	958940	529491	0	306262
lb	lb_s_196	14967648	12488439	0.834	6166391	882840	836228	454517	0	305624
lb	lb_s_197	20764648	17544189	0.845	8756164	1244744	1049995	518474	0	407246
lb	lb_s_199	41870746	35450054	0.847	17600406	2693487	1870151	1142524	0	714530
lb	lb_s_2	30477527	26037141	0.854	12965228	1907536	1306078	781831	0	444941
lb	lb_s_20	17446958	14119229	0.809	6902372	1150908	1214648	539961	0	422212
lb	lb_s_200	9621951	7896947	0.821	3935082	679815	598358	207394	0	239437
lb	lb_s_201	13247389	8352658	0.631	4357012	1002114	2110523	456585	0	1325509
lb	lb_s_203	22196262	18312234	0.825	8944795	1351822	1457487	656339	0	418380
lb	lb_s_204	26505834	21757116	0.821	10366467	1478553	1820418	976801	0	472946
lb	lb_s_205	23068098	19608707	0.850	9822423	1274432	1150397	598452	0	436110
lb	lb_s_206	8111358	6512668	0.803	3185113	511195	656443	261586	0	169466
lb	lb_s_207	16171076	13125839	0.812	6473567	970849	1189154	438904	0	446330
lb	lb_s_209	35043912	29193146	0.833	14294573	2161978	2135078	882654	0	671056
lb	lb_s_21	18728943	15533866	0.829	7728469	1222283	1024293	486414	0	462087
lb	lb_s_211	19827496	16044178	0.809	7885560	1163235	1496491	551510	0	572082
lb	lb_s_212	8362440	7042242	0.842	3523047	501567	443979	210840	0	163812
lb	lb_s_213	21280424	17699300	0.832	8747641	1286481	1192759	649952	0	451932
lb	lb_s_214	28213106	23842655	0.845	11869763	1856303	1270799	749329	0	494020
lb	lb_s_215	19080512	15849901	0.831	7789150	1073557	1260705	529981	0	366368
lb	lb_s_216	165160	116320	0.704	55084	9518	21572	14572	0	3178
lb	lb_s_217	20090948	17053524	0.849	8514350	1164112	1002203	500605	0	370504
lb	lb_s_218	21300990	17609438	0.827	8595122	1182532	1523075	594205	0	391740
lb	lb_s_22	22002701	17514463	0.796	8308530	1410502	1792488	825301	0	459947
lb	lb_s_220	17056702	13915065	0.816	6805119	1048311	1176365	497403	0	419558
lb	lb_s_221	29778132	25286720	0.849	12578465	1938664	1309505	755451	0	487792
lb	lb_s_222	6772764	5515891	0.814	2683986	472183	470720	179432	0	134538
lb	lb_s_223	5573999	4468415	0.802	2159852	342796	450184	139161	0	173443
