sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_reads	n_pcr_dupl_pairs	pcr_dupl_rate
bb_f_45	485101	7875770	16.235	17.456	838198	1787319	0.185
bb_f_46	474777	3701387	7.796	8.328	707932	2653458	0.418
bb_f_47	393974	3922845	9.957	10.392	506025	1126245	0.223
bb_f_48	428734	4416459	10.301	10.870	503348	993286	0.184
bb_f_49	357288	6105275	17.088	18.014	557210	2776706	0.313
bb_f_5	511243	6826609	13.353	14.911	980765	2633082	0.278
bb_f_51	478334	4291154	8.971	9.533	472177	1501479	0.259
bb_f_52	437562	8109482	18.533	20.104	666497	2284662	0.220
bb_f_53	389800	6462846	16.580	17.482	888764	1594776	0.198
bb_f_54	408380	5876430	14.390	15.132	600122	1786742	0.233
bb_f_55	398794	4906319	12.303	12.918	597548	1157236	0.191
bb_f_56	424200	6407633	15.105	16.003	604785	1500365	0.190
bb_f_58	398703	5824063	14.608	15.394	771186	1961329	0.252
bb_f_59	414467	6093320	14.702	15.513	705770	1315102	0.178
bb_f_6	445537	1769749	3.972	4.189	227109	340246	0.161
bb_f_60	361718	7092785	19.609	20.683	1366219	2569668	0.266
bb_f_61	466468	4688201	10.050	10.702	620540	1250509	0.211
bb_f_63	393067	4395569	11.183	11.747	535030	995841	0.185
bb_f_64	511468	7951303	15.546	16.922	1532082	2463055	0.237
bb_f_66	486960	5343411	10.973	11.764	762314	1941791	0.267
bb_f_67	491471	4463099	9.081	9.705	693037	802175	0.152
bb_f_68	484906	5829559	12.022	12.853	513506	1393469	0.193
bb_f_7	528236	5707575	10.805	12.171	508096	1279465	0.183
bb_f_70	508370	13733568	27.015	28.932	2084378	3914814	0.222
bb_f_71	506302	7138749	14.100	15.256	1087174	1813711	0.203
bb_f_72	494409	6088112	12.314	13.212	684029	1903966	0.238
bb_f_73	514439	6410114	12.460	13.515	1459770	1748148	0.214
bb_f_76	498387	7847552	15.746	16.944	894170	1920660	0.197
bb_f_77	373431	6353096	17.013	17.946	577943	2857797	0.310
bb_f_78	476969	4824383	10.115	10.779	543168	1805886	0.272
bb_f_79	461598	3523970	7.634	8.130	700522	622239	0.150
bb_f_8	397347	5344032	13.449	14.124	715375	1796461	0.252
bb_f_80	508779	6431468	12.641	13.801	1229425	1962326	0.234
bb_f_82	473078	5330835	11.268	12.029	567527	1431911	0.212
bb_f_86	407151	5999381	14.735	15.484	608481	1835958	0.234
bb_f_88	502671	7225249	14.374	15.202	542862	1881836	0.207
bb_f_89	510908	14303153	27.996	30.098	2511954	5275018	0.269
bb_f_9	410142	6872579	16.757	17.709	814480	1799204	0.207
bb_f_90	499067	6623449	13.272	14.300	758650	1565891	0.191
bb_f_91	489300	6231931	12.736	13.745	1175978	1656977	0.210
bb_f_92	429723	6209822	14.451	15.302	586853	1383974	0.182
bb_f_94	364355	5217546	14.320	14.941	519915	1646519	0.240
bb_f_95	503414	6909712	13.726	14.816	1267186	1804821	0.207
bb_f_96	408846	4960271	12.132	12.784	450178	1162551	0.190
bb_f_97	361956	6347840	17.538	18.449	852159	1888781	0.229
bb_f_98	488000	6858966	14.055	15.152	1568635	1943399	0.221
bb_f_99	498049	4671836	9.380	10.156	932210	3581931	0.434
bb_s_1	436134	6163225	14.131	14.986	1143201	1287479	0.173
bb_s_10	498407	6474022	12.989	13.885	945012	1288544	0.166
bb_s_100	357179	4935240	13.817	14.438	531727	1224354	0.199
bb_s_101	144531	465293	3.219	3.481	541549	3507038	0.883
bb_s_102	415675	4631848	11.143	11.692	515190	859113	0.156
bb_s_104	472251	2688903	5.694	6.077	504410	1862851	0.409
bb_s_105	498133	4947110	9.931	10.679	834618	881857	0.151
bb_s_106	389182	5697908	14.641	15.365	574789	1721210	0.232
bb_s_107	176439	1815147	10.288	11.043	462972	3089760	0.630
bb_s_108	486837	4491765	9.226	9.909	622433	1385403	0.236
bb_s_109	479454	8502550	17.734	19.133	1976903	2621809	0.236
bb_s_11	404382	5293735	13.091	13.770	626068	1065031	0.167
bb_s_110	504282	9631552	19.100	20.576	870890	2725358	0.221
bb_s_112	381170	5887311	15.445	16.163	774331	1592235	0.213
bb_s_113	508086	5131200	10.099	11.093	908957	1257479	0.197
bb_s_114	419470	6326374	15.082	16.079	584505	1510654	0.193
bb_s_115	505255	7487551	14.819	16.101	1160711	1985182	0.210
bb_s_116	485367	5392720	11.111	11.927	723929	1949849	0.266
bb_s_118	389578	4141991	10.632	11.078	436316	1027241	0.199
bb_s_12	499901	6554712	13.112	14.132	774802	1565981	0.193
bb_s_120	492556	5109904	10.374	11.169	909114	1266205	0.199
bb_s_121	327617	3805393	11.615	12.066	666024	1089796	0.223
bb_s_122	421587	6952034	16.490	17.464	728784	2222229	0.242
bb_s_123	389192	6078141	15.617	16.410	662195	1770748	0.226
bb_s_124	487225	6266203	12.861	13.768	720627	2586823	0.292
bb_s_125	401842	6765357	16.836	17.802	931325	1660526	0.197
bb_s_126	447863	7350434	16.412	17.504	1398017	1689129	0.187
bb_s_127	490416	5185392	10.573	11.353	813098	1559907	0.231
bb_s_128	413085	8585442	20.784	22.076	982823	2700788	0.239
bb_s_129	475714	1800446	3.785	3.921	127209	313230	0.148
bb_s_13	500249	3579145	7.155	7.979	572831	925985	0.206
bb_s_130	482330	5675210	11.766	12.549	632074	1674554	0.228
bb_s_131	425484	4439771	10.435	10.991	517374	879073	0.165
bb_s_133	483668	3131781	6.475	6.957	648920	2261001	0.419
bb_s_134	354144	5093278	14.382	15.009	500804	1355245	0.210
bb_s_135	460002	2097898	4.561	4.827	682534	3856868	0.648
bb_s_136	491579	9833631	20.004	21.364	1467365	2287907	0.189
bb_s_137	367016	6559801	17.873	18.824	888189	1954670	0.230
bb_s_138	428569	6883613	16.062	17.044	673413	1603755	0.189
bb_s_139	361257	5300822	14.673	15.365	537389	1697403	0.243
bb_s_14	485430	5387729	11.099	11.867	547957	1008109	0.158
bb_s_140	352214	5069197	14.392	15.064	533351	1624792	0.243
bb_s_141	505497	12366239	24.464	26.294	1625115	4909049	0.284
bb_s_142	409769	4032560	9.841	10.332	522967	1169316	0.225
bb_s_143	490049	5641887	11.513	12.379	718663	1818638	0.244
bb_s_144	372433	794170	2.132	2.201	71570	140033	0.150
bb_s_145	434857	6177061	14.205	15.085	729000	1541608	0.200
bb_s_146	379091	5841659	15.410	16.190	508489	2501956	0.300
bb_s_147	380942	6330664	16.618	17.457	702152	1704433	0.212
bb_s_148	430727	5659925	13.140	13.894	672688	1168551	0.171
bb_s_149	485948	4102783	8.443	9.030	468061	1443910	0.260
bb_s_15	378652	9176920	24.236	25.779	758463	3031151	0.248
bb_s_150	315532	1125511	3.567	3.823	527025	5241055	0.823
bb_s_151	472009	2231409	4.727	5.017	680655	3863489	0.634
bb_s_153	494789	6111065	12.351	13.313	639696	1281778	0.173
bb_s_154	503953	8039247	15.952	17.346	1503688	2578524	0.243
bb_s_155	483550	4274904	8.841	9.407	474260	1119281	0.207
bb_s_156	392825	6461153	16.448	17.261	722507	1950204	0.232
bb_s_157	503807	7089164	14.071	15.183	1037841	1799483	0.202
bb_s_158	352077	5525810	15.695	16.365	659334	1512941	0.215
bb_s_159	439838	2371686	5.392	5.711	372652	565804	0.193
bb_s_16	266264	2937369	11.032	12.015	757301	5585973	0.655
bb_s_160	410879	5488000	13.357	14.051	629595	1117156	0.169
bb_s_161	413755	4443337	10.739	11.296	596598	1055340	0.192
bb_s_162	475851	4197307	8.821	9.367	357348	839350	0.167
bb_s_163	416873	5326318	12.777	13.448	670986	1493595	0.219
bb_s_164	292417	4224397	14.446	15.043	476457	1437271	0.254
bb_s_165	421977	1314987	3.116	3.259	470113	2036639	0.608
bb_s_167	443770	7206670	16.240	17.243	1307339	1611911	0.183
bb_s_168	508094	6722942	13.232	14.310	1224631	1726895	0.204
bb_s_169	508287	8787951	17.289	18.657	999411	2349175	0.211
bb_s_17	419800	4172438	9.939	10.452	523351	1057880	0.202
bb_s_170	492035	4002779	8.135	8.773	772990	2927058	0.422
bb_s_171	489891	5270041	10.758	11.588	1134540	1070001	0.169
bb_s_172	454694	2008999	4.418	4.681	485909	2248703	0.528
bb_s_173	416400	5630144	13.521	14.214	516140	1385446	0.197
bb_s_175	475487	3545437	7.456	7.988	534879	925387	0.207
bb_s_176	255338	819671	3.210	3.388	369787	3564955	0.813
bb_s_177	384632	6032708	15.684	16.470	522569	2586200	0.300
bb_s_178	224243	1897484	8.462	9.111	460562	3089416	0.620
bb_s_179	443860	6497069	14.638	15.579	610213	1672711	0.205
bb_s_18	475410	3654883	7.688	8.194	454499	1199150	0.247
bb_s_181	494953	6615401	13.366	14.347	741854	1551932	0.190
bb_s_182	428433	4493330	10.488	11.037	364310	988773	0.180
bb_s_183	518301	6322530	12.199	13.450	804977	1332599	0.174
bb_s_184	483798	2868915	5.930	6.284	398211	595136	0.172
bb_s_185	423709	6970162	16.450	17.434	638365	1733144	0.199
bb_s_187	490414	6699824	13.662	14.680	698665	1396516	0.172
bb_s_188	343493	2816368	8.199	8.456	252236	588020	0.173
bb_s_189	435524	4168619	9.572	10.724	307357	864663	0.172
bb_s_19	392350	5163082	13.159	13.802	472143	1259170	0.196
bb_s_190	505452	7461035	14.761	16.089	1501799	2281340	0.234
bb_s_191	409370	9761453	23.845	25.497	818594	3143996	0.244
bb_s_192	449969	2037672	4.528	4.776	473252	551342	0.213
bb_s_193	491210	4870924	9.916	10.690	676672	1759163	0.265
bb_s_194	480209	5038971	10.493	11.233	1070422	1011214	0.167
bb_s_195	438390	6067558	13.841	14.682	696542	1512305	0.200
bb_s_196	345019	3742282	10.847	11.253	283448	905071	0.195
bb_s_197	378870	5051543	13.333	13.985	436158	2006108	0.284
bb_s_198	359387	2856379	7.948	8.235	271398	697012	0.196
bb_s_199	416024	2484017	5.971	6.222	283537	560397	0.184
bb_s_2	313679	3691499	11.768	12.192	340649	1309746	0.262
bb_s_20	488872	4906726	10.037	10.768	665665	1377838	0.219
bb_s_200	507580	3626590	7.145	7.727	450669	668205	0.156
bb_s_201	499305	5927174	11.871	12.782	1070975	1445385	0.196
bb_s_202	380114	7605419	20.008	21.143	1421407	2852931	0.273
bb_s_203	482880	3282664	6.798	7.284	466705	707318	0.177
bb_s_204	492737	5665590	11.498	12.389	777544	2096195	0.270
bb_s_205	495711	5055376	10.198	10.998	674297	1617379	0.242
bb_s_206	54528	59277	1.087	1.091	6958	1305	0.022
bb_s_207	443391	5638236	12.716	13.485	1032962	1140052	0.168
bb_s_208	367550	2464040	6.704	6.947	294819	397145	0.139
bb_s_209	499931	5057838	10.117	10.957	653380	1575175	0.237
bb_s_210	475843	2739893	5.758	6.122	653008	3192809	0.538
bb_s_211	389882	1143453	2.933	3.074	173746	206408	0.153
bb_s_212	354600	4284071	12.081	12.581	474079	1413922	0.248
bb_s_213	505968	7366194	14.559	15.649	913288	1615584	0.180
bb_s_214	404176	1941448	4.803	4.982	217975	332225	0.146
bb_s_215	484360	3645144	7.526	8.098	606632	765920	0.174
bb_s_216	464977	2270863	4.884	5.171	725974	4238368	0.651
bb_s_217	414557	5697278	13.743	14.507	683196	1416787	0.199
bb_s_219	422548	4876315	11.540	12.179	650173	1192903	0.197
bb_s_220	490091	6299054	12.853	13.796	677448	1788905	0.221
bb_s_221	495744	5821917	11.744	12.689	1249949	1246897	0.176
bb_s_222	443886	5307364	11.957	13.179	544098	1196286	0.184
bb_s_223	472996	2477326	5.238	5.544	350483	648053	0.207
bb_s_224	484226	4816885	9.948	10.672	1011277	940309	0.163
bb_s_225	500771	3974467	7.937	8.592	774147	2941110	0.425
bb_s_226	489026	4498910	9.200	9.913	686681	1316077	0.226
bb_s_227	333366	4879220	14.636	15.295	476215	1914123	0.282
bb_s_228	415311	4452783	10.722	11.266	538982	1117756	0.201
bb_s_229	501030	6791714	13.556	14.612	789667	1627122	0.193
bb_s_23	509561	8835113	17.339	18.848	1330621	2408163	0.214
