sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_read	n_pcr_dupl_pairs	pcr_dupl_rate	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
cl_f_269	422352	1579093	3.739	3.846	352075	1553183	0.496	8722837	6932459	0.795	3448108	585732	701050	222911	0	280685
cl_f_270	436949	2005043	4.589	4.76	359237	469390	0.19	7160620	5580285	0.779	2746615	479705	608227	188783	0	303620
cl_f_272	485875	3391528	6.98	7.31	684015	2444897	0.419	16026279	12827820	0.8	6307380	1059745	1229632	443325	0	465757
cl_f_276	457339	2722435	5.953	6.173	370420	668975	0.197	9144619	7437958	0.813	3676128	565388	655927	255705	0	229641
cl_f_286	498089	6569936	13.19	13.943	901500	2043638	0.237	23069949	18813863	0.816	9298789	1529032	1570297	637992	0	518765
cl_f_288	476202	4048658	8.502	8.895	580101	1100732	0.214	13933923	11307912	0.812	5578421	907048	989327	376529	0	353107
cl_f_296	467515	4312978	9.225	9.618	433841	797940	0.156	13194970	11006660	0.834	5461901	863100	696433	316487	0	312290
cl_f_312	493542	4507390	9.133	9.64	663020	1578733	0.259	16514466	13297878	0.805	6548735	1112466	1201289	458161	0	444672
cl_f_314	439617	1704805	3.878	3.996	207068	439216	0.205	5646135	4635969	0.821	2284880	366146	369764	155653	0	118603
cl_f_34	485702	5431377	11.183	11.77	801441	1561120	0.223	19016335	15384476	0.809	7590538	1206127	1375030	557763	0	492939
cl_f_343	462049	2576503	5.576	5.785	252506	383851	0.13	7646085	6379459	0.834	3166599	498401	402219	183945	0	182061
cl_f_348	405186	6418752	15.841	16.463	594880	1539097	0.193	20064142	17009694	0.848	8456965	1184285	984275	525590	0	360298
cl_f_38	489873	5090680	10.392	10.947	679989	1602236	0.239	17724318	14522304	0.819	7149399	1128947	1197575	493900	0	381592
cl_f_41	445378	7866780	17.663	18.473	758231	2024037	0.205	25257091	21186507	0.839	10537459	1642788	1273538	666315	0	487943
cl_f_46	426674	5991891	14.043	14.612	1136502	1233099	0.171	19530833	15948090	0.817	7586598	1166587	1338936	743965	0	333255
cl_f_52	470953	2763727	5.868	6.11	658997	3182129	0.535	16377907	13124820	0.801	6519967	1061850	1268159	415609	0	507469
cl_f_53	479587	4490733	9.364	9.801	496048	1139867	0.202	14743979	12186784	0.827	6060136	1011015	822682	341721	0	381777
cl_f_55	416470	6737771	16.178	16.818	1296207	1496145	0.182	22228354	18153909	0.817	8623786	1326531	1495087	907997	0	344830
cl_f_56	465415	4749194	10.204	10.673	668396	1690640	0.263	17331238	14009681	0.808	6901451	1190713	1209001	503583	0	418260
cl_f_68	403454	6343241	15.722	16.323	589276	1526321	0.194	19928513	16827827	0.844	8368989	1188882	981471	570516	0	359817
cl_f_76	504081	4766006	9.455	10.221	588902	1428490	0.231	16327039	13373375	0.819	6589977	1117999	1064607	458721	0	312337
cl_f_79	456706	1949211	4.268	4.435	599644	3289588	0.628	14830892	11628726	0.784	5790283	1013575	1232033	370070	0	586488
cl_f_85	483542	5348214	11.06	11.627	739639	1960027	0.268	19468001	15866538	0.815	7818658	1301162	1317917	535987	0	446397
cl_f_88	407173	4747461	11.66	12.073	858262	885115	0.157	15064016	12389271	0.822	5898433	846034	1017341	582718	0	228652
cl_s_104	418094	5684780	13.597	14.162	520458	1280004	0.184	17607935	14893079	0.846	7407837	1054437	877964	458130	0	324325
